"73","70mm Copper Lug 8mm Stud Bell (same as 72)","CTL70-8xxx",0,"BF-16"
"74","70mm Copper Lug 10mm Stud Bell","CTL70-10",100,"BF-16"
"75","Narrow Palm Lug 70-10mm","CTLNP70-10",0,"BF-16"
"76","95MM COPPER LUG 10MM STUD BELL","CTL95-8",200,"BF-16"
"77","NARROW PALM LUG 95-8mm","CTLNP95-8",200,"BF-16"
"78","95MM COPPER LUG 10MM STUD BELL","CTL95-10",320,"BF-16"
"79","95 x 10mm NARROW PALM LUG","CTLNP95-10",0,"BF-16"
"80","Narrow Palm Lug 120-10mm","CTLNP120-10",210,"BF-16"
"81","150mm Copper Lug 8mm Stud Bell","CTL150-8",320,"BF-16"
"82","150mm Cpr Lug 10mm Stud Bell","CTL150-10",100,"BF-16"
"83","Narrow Palm Lug 150-10mm","CTLNP150-10",100,"BF-16"
"84","Narrow Palm Lug 185-10mm","CTLNP185-10",100,"BF-16"
"85","240mm COPPER LUG 10mm STUD BELL","CTL240-10",30,"BF-16"
"86","Narrow Palm Lug 240-10mm","CTLNP240-10",60,"BF-16"
"87","M4 x 10 MACHINE SCREW CHEESE SLOT ZP","MTM410CHSZ",600,"BF-16"
"88","SCREW STEEL PAN-HD POZI 4X16MM","41311",200,"BF-16"
"89","4 x 20mm screw","28378",600,"BF-16"
"90","4mm Spring Washer","33031",0,"BF-16"
"91","4mm Flat Washer (small)","8344",0,"BF-16"
"92","4mm nut","3167",0,"BF-16"
"93","SCREW M5 X 30 PAN HEAD","060607P47        ",1000,"BF-16"
"94","5mm SPRING WASHER ZP","5891",0,"BF-16"
"95","5mm FLAT WASHER 5 x 10 x 1mm","8345",0,"BF-16"
"96","3/16X1/2X20G FLAT WASHER ZP","WF3161220Z       ",3400,"BF-16"
"97","M5 HEX NUT ZP","NM5Z             ",3000,"BF-16"
"98","5MM EXTERNAL TOOTH WASHER ZP","WETM5Z           ",0,"BF-16"
"99","5MM INTERNAL TOOTH WASHER ZP","WITM5Z           ",0,"BF-16"
"100","M6 X 30 MACHINE SCREWS PAN SLO","MTM630PSBR       ",0,"BF-16"
"101","M6 X 40 PAN PHIL METAL THREAD","MTM640PXZ        ",1000,"BF-16"
"102","M6 Flat Head Bolt","CSTUDM625Z",0,"BF-16"
"103","6mm Spring coil Zinc Washer 1/4x1/16/1/16","8691",2200,"BF-16"
"104","6mm FLAT WASHER 6x 15.8x1.6mm","401",3400,"BF-16"
"105","1/4 x 3/4 x 16 Imperial Washer","8578",0,"BF-16"
"106","WASHER FLAT ROUND ZINC 6mm (1/4)","WASHM6ZP         ",7500,"BF-16"
"107","6mm nut","NM6Z",2250,"BF-16"
"108","SCR-HEX-ISO4017-8.8-WS13-(A2K) - M8x12","30157",400,"BF-16"
"109","M8 x 16 Hex Screw","30153",968,"BF-16"
"110","8mmx25mm Flat Head Bolt","Not Available",0,"BF-16"
"111","SCREW SET H/T GR8.8 HEX 8x20mm","20mm",3600,"BF-16"
"112","M8 X 25 HEX SET SCREW CL 8.8 Z","10mm",1000,"BF-16"
"113","M8X30 SET SCREW","Its a washer",2000,"BF-16"
"114","M8 X 35 HEX SET SCREW CL 8.8 Z","12mm",1400,"BF-16"
"115","8MM INTERNAL TOOTH WASHER ZP","WITM8Z",3000,"BF-16"
"116","8mm Nut","3179",3500,"BF-16"
"117","M10 X 16 Hex Crew","SSM1016Z8",400,"BF-16"
"118","M10 X 20 HEX SET SCREW CL 8.8","SSM1020Z8",300,"BF-16"
"119","M10 X 25 HEX SET SCREW CL 8.8 ZINC SILVER","SSM1025Z8",350,"BF-16"
"120","SCREW M10 X 30 HEX SET 8.8 H/T","060609C50",700,"BF-16"
"121","SCREW M10 x 35  SET H/T GR8.8 HEX-HD","415",150,"BF-16"
