"HM71","650 Meter Pan Frame Side","6vMpFmS","Variance",5,1,4,25.81,1,25.81,16,412.96,"2023-09-08 14:45:16","HYMOD",6
"HM79","600 X 50 PART HORI CENT","6X0VPAHC","Variance",2,0,2,12.7,1,12.7,1,12.7,"2023-08-28 12:27:06","HYMOD",6
"HM1","600x400 Gland Plate - 3mm Ali","6X4GP-A3","Variance",4,2,2,21,1,21,3,63,"2023-09-15 09:57:45","HYMOD",6
"HM81","700 Vent Cover Top IP56","7-VcT56","Variance",24,10,14,67.86,1,67.86,18,1221.48,"2023-09-27 11:13:02","HYMOD",6
"HM61","700 Esc Frame Bottom","7EfB","Variance",75,45,30,15.73,1,15.73,42,660.66,"2023-10-05 14:40:32","HYMOD",6
"HM74","700 Meter Panel Frame Bottom","7MpFmB","Variance",30,15,15,30.61,1,30.61,11,336.71,"2023-09-26 10:09:59","HYMOD",6
"HM78","700 Meter Pan Frame Back","7MpFmBk","Variance",20,10,10,11.04,1,11.04,28,309.12,"2023-09-05 12:20:48","HYMOD",6
"HM73","700 Meter Panel Frame Hinge","7MpFmH","Variance",30,15,15,29.12,1,29.12,19,553.28,"2023-09-26 10:09:19","HYMOD",6
"HM72","700 Meter Pan Frame Side","7MpFmS","Variance",30,15,15,27.21,1,27.21,15,408.15,"2023-09-26 10:09:29","HYMOD",6
"HM69","700 Part Hori Back","7PaHB","Variance",40,25,15,16.87,1,16.87,7,118.09,"2023-09-27 10:29:03","HYMOD",6
"HM68","700 Part Hori Front","7PaHF","Variance",30,10,20,14.03,1,14.03,22,308.66,"2023-09-11 15:11:43","HYMOD",6
"HM29","700 RaCab - Rail Cable Support","7RaCab","Variance",60,25,35,16.54,1,16.54,32,529.28,"2023-10-06 11:51:30","HYMOD",20
"HM23","700 RaCh-CBI - Rail Channel","7RaCh-C","Variance",200,75,125,13.73,1,13.73,117,1606.41,"2023-10-06 11:51:14","HYMOD",20
"HM21","700 RaGTCT - Rail Gear Tray CT","7RaGTCT","Variance",75,15,60,23.52,1,23.52,92,2163.84,"2023-09-26 10:14:28","HYMOD",3
"HM18","700 RaM -Rail Mount - Single","7RaM-S","Variance",40,20,20,8.21,1,8.21,31,254.51,"2023-09-27 09:58:50","HYMOD",6
"HM55","750x400 Part Vertical - Top","7v4PaV-T","Variance",40,15,25,34.84,1,34.84,32,1114.88,"2023-10-04 15:24:05","HYMOD",6
"HM64","700x50 Part Hori Cent","7x0vPaHC","Variance",40,15,25,12.7,1,12.7,32,406.4,"2023-09-26 10:08:23","HYMOD",6
"HM66","700x75 Part Hori Cent","7x0wPaHC","Variance",40,15,25,12.7,1,12.7,23,292.1,"2023-09-26 10:08:16","HYMOD",6
"HM52","700x75 Part Hori Cent 6mm BAKELITE","7X0WPAHC-B/LITE","INSULCUT",30,10,20,12.7,1,12.7,11,139.7,"2023-09-12 15:18:59","HYMOD",6
"HM47","7x1 (570x1100) Polycarb Mesh 12x12","7X11PME12","Variance",8,4,4,151.69,1,151.69,6,910.14,"2023-08-28 12:27:06","HYMOD",6
"HM77","700x100 Meter Pan Frame Back","7x1MpFmBk","Variance",30,15,15,15.88,1,15.88,40,635.2,"2023-09-26 10:09:13","HYMOD",6
"HM65","700x100 Part Hori Cent","7x1PaHC","Variance",25,10,15,12.7,1,12.7,34,431.8,"2023-09-12 15:20:00","HYMOD",6
"HM3","700x400 Gland Plate - 2mm Ali","7X4GP-A2","Variance",40,20,20,21.78,1,21.78,9,196.02,"2023-09-26 10:13:21","HYMOD",6
"HM2","700x400 Gland Plate - 3mm Ali","7x4GP-A3","Variance",50,25,25,21.78,1,21.78,8,174.24,"2023-10-04 16:20:41","HYMOD",6
"HM128","700x400 Rain Hood 77","7x4RH77","Variance",1,0,1,1,1,1,1,1,"2023-09-25 15:24:30","HYMOD",1
"HM82","800 Vent Cover Top IP56","8-VCT56","Variance",15,6,9,89.91,1,89.91,14,1258.74,"2023-10-02 16:43:38","HYMOD",6
"HM62","800 Esc Frame Bottom","8EfB","Variance",30,10,20,16.1,1,16.1,16,257.6,"2023-10-05 14:40:24","HYMOD",6
"HM11","800 RaCab - Rail Cable Support","8RACAB","Variance",30,15,15,18.08,1,18.08,14,253.12,"2023-10-06 14:53:57","HYMOD",10
"HM8","800 RaCh-CBI - Rail Channel","8RACH-C","Variance",50,25,25,15.73,1,15.73,27,424.71,"2023-10-05 17:01:42","HYMOD",10
"HM22","800 RaGTCT - Rail Gear Tray CT","8RaGTCT","Variance",4,2,2,25.4,1,25.4,5,127,"2023-10-09 15:22:34","HYMOD",3
"HM19","800 RaM -Rail Mount - Single","8RaM-S","Variance",30,15,15,8.9,1,8.9,15,133.5,"2023-09-26 10:19:21","HYMOD",6
"HM53","800x75 Part Hori Centre 6mm BAKELITE","8X0WPAHC-B/LITE","INSULCUT",20,5,15,12.7,1,12.7,24,304.8,"2023-08-28 12:27:06","HYMOD",6
"HM6","800x400 Gland Plate - 3mm Ali","8X4GP-A3","Variance",30,15,15,22,1,22,14,308,"2023-10-04 15:06:18","HYMOD",6
"HM13","800x400 Gland Plate - 2mm Ali Filter","8X4GPF-A2","Variance",20,10,10,28.84,1,28.84,15,432.6,"2023-09-26 10:14:12","HYMOD",4
"HM75","900 Esc Frame Bottom","9EfB","Variance",15,8,7,18.69,1,18.69,6,112.14,"2023-09-20 15:45:22","HYMOD",6
"HM12","900 RaCab - Rail Cable Support","9RACAB","Variance",25,10,15,19.16,1,19.16,19,364.04,"2023-09-22 11:31:45","HYMOD",10
"HM9","900 RaCh-CBI - Rail Channel","9RACH-C","Variance",30,16,14,17.03,1,17.03,22,374.66,"2023-10-05 12:06:03","HYMOD",10
"HM20","900 RaM -Rail Mount - Single","9RaM-S","Variance",15,5,10,9.5,1,9.5,9,85.5,"2023-08-28 12:27:06","HYMOD",6
"HM5","900x400 Gland Plate - 3mm Ali","9X4GP-A3","Variance",8,4,4,27.4,1,27.4,11,301.4,"2023-09-22 14:42:59","HYMOD",6
"BH4","Contactor Mounting Bkt (Ext)","ADV-CC50","NYLEC",60,20,40,2.9,1,2.9,65,188.5,"2023-09-01 14:41:42","Top Hat",6
"BH9","CONTACTOR MOUNTING BKT( Int )","ADV-HQFC CC50","NYLEC",60,20,40,4.8,1,4.8,23,110.4,"2023-10-05 13:10:17","Top Hat",6
"BH7","ADV580 - DUCT MOUNTING BRACKET","ADV580BKTDM","NYLEC",600,300,300,1.75,1,1.75,108,189,"2023-10-09 16:52:19","Top Hat",20
"BH8","ADV 700-DUCT","ADV700BKTDM","NYLEC",400,200,200,1.75,1,1.75,322,563.5,"2023-09-27 12:46:05","Top Hat",20
"BH26","ADV 700 - GEAR TRAY","ADV700GT","NYLEC",40,20,20,6.8,1,6.8,38,258.4,"2023-09-22 11:12:35","Top Hat",6
"BH11","ADV-BKT-METAL","ADVBKTMSEG","NYLEC",40,20,20,8,1,8,68,544,"2023-09-25 12:28:11","Top Hat",6
"BH3","ADV Cable Support Bracket","ADVCSUPBKT","NYLEC",60,30,30,3.2,1,3.2,170,544,"2023-08-28 12:27:06","Top Hat",6
"BH10","ADV-HVC CHASSIS MAIN SWITCH MOUNTING TOP HAT","ADVHVCTHMSDIN","NYLEC",60,30,30,5.6,1,5.6,145,812,"2023-09-18 14:23:32","Top Hat",6
"BH15","ADV MAIN SWITCH TOPHAT","ADVTH","NYLEC",120,60,60,6.79,1,6.79,105,712.95,"2023-10-02 17:02:30","Top Hat",6
"BH12","ADV-3xF50 DV MOUNTING","ADVTH3F50DVMS","NYLEC",10,5,5,9.14,1,9.14,10,91.4,"2023-09-12 15:54:01","Top Hat",6
"BH2","ADV-CONTROL SWITCH","ADVTHCS3F50DV","NYLEC",80,40,40,3,1,3,84,252,"2023-09-27 12:29:11","Top Hat",6
"BH14","ADV-CONTROL SWITCH MOUNTING","ADVTHCSDIN","NYLEC",100,50,50,3,1,3,216,648,"2023-10-09 11:52:08","Top Hat",6
"BH13","F50DV TOP HAT FOR ADV","ADVTHF50","NYLEC",60,30,30,6.6,1,6.6,86,567.6,"2023-10-09 12:13:10","Top Hat",6
"BH1","KDN400 TOP HAT FOR ADV","ADVTHKDN400","NYLEC",30,10,20,6.33,1,6.33,15,94.95,"2023-09-26 16:20:05","Top Hat",6
"BH17","ADV-MAIN SWITCH MOUNTING","ADVTHMSDIN","NYLEC",120,60,60,5.64,1,5.64,8,45.12,"2023-10-09 11:51:46","Top Hat",6
"BH18","ADVTHMSDIN-EDS3250 - 46.5mmW","ADVTHMSDIN-01","NYLEC",120,60,60,4.9,1,4.9,145,710.5,"2023-10-06 16:45:25","Top Hat",6
"BH16","ADVTHMSDIN-EDS3250T2","ADVTHMSDIN-02","NYLEC",120,60,60,4.9,1,4.9,76,372.4,"2023-09-25 11:27:44","Top Hat",6
"BH5","SFM3-G3 MCB TOP HAT FOR ADV","ADVTHSFM3G3","NYLEC",20,5,15,6.11,1,6.11,9,54.99,"2023-08-28 12:27:06","Top Hat",6
"HM101","Bakelite Thickness 4.5mm 250 x 150","BAKELITE250X150","QUADOR",25,10,15,5,1,5,21,105,"2023-09-26 10:21:43","HYMOD",5
"HM103","Bar Rack Brac","BarRkBr","Variance",200,80,120,5.22,1,5.22,65,339.3,"2023-10-04 15:06:45","HYMOD",20
"BH19","CUSTOM BRACKET 1","BRKT00001","NYLEC",15,5,10,2.8,1,2.8,80,224,"2023-09-01 14:49:35","Top Hat",6
"BH76","CUSTOM BRACKET 2","BRKT00002","NYLEC",15,5,10,6.2,1,6.2,45,279,"2023-09-01 15:35:07","Top Hat",6
"BH74","CUSTOM BRACKET3(100mm)","BRKT00003(100MM)","NYLEC",15,5,10,3.2,1,3.2,24,76.8,"2023-09-01 15:32:54","Top Hat",6
"BH73","CUSTOM BRACKET4(230mm)","BRKT00004(230MM)","NYLEC",15,5,10,7.13,1,7.13,56,399.28,"2023-09-01 15:32:33","Top Hat",6
"HM38","Bracket L-Esc Frame 28","BrL-Ef28","Variance",100,40,60,1.66,1,1.66,92,152.72,"2023-09-22 14:14:30","HYMOD",25
"HM40","Bracket L-Esc Frame 30","BrL-Ef30","Variance",400,100,300,1.51,1,1.51,552,833.52,"2023-10-05 13:21:11","HYMOD",6
"HM34","Bracket L3-65 CBI Standard 2 Hole","BrL3-65S-2","Variance",150,50,100,2.22,1,2.22,27,59.94,"2023-09-26 10:17:42","HYMOD",25
"HM39","Bracket L3-65 CBI Standard 8 Hole","BrL3-65S-8","Variance",400,100,300,2.54,1,2.54,190,482.6,"2023-10-06 16:45:41","HYMOD",25
"HM35","Bracket L3-75 Corslot 2 Hole","BrL3-75C-2","Variance",100,25,75,2.27,1,2.27,40,90.8,"2023-09-26 10:17:38","HYMOD",25
"HM37","Bracket L3-75 Corslot 8 Hole","BrL3-75C-8","Variance",100,50,50,2.6,1,2.6,148,384.8,"2023-09-19 14:36:34","HYMOD",25
"HM36","Bracket L -Earth","BRL3-E","Variance",75,25,50,3.12,1,3.12,34,106.08,"2023-10-02 16:37:15","HYMOD",25
"HM106","Fuse Bracket","BrL3-Fuse","Variance",60,25,35,5.52,1,5.52,32,176.64,"2023-10-09 13:17:57","HYMOD",6
"HM41","Bracket Z - Partician 1x28","BrZ-Pa1-28","Variance",100,30,70,1.51,1,1.51,71,107.21,"2023-10-04 16:20:02","HYMOD",25
"HM42","Bracket Z - Partician 2x28","BrZ-Pa2-28","Variance",250,100,150,1.92,1,1.92,207,397.44,"2023-10-04 16:19:56","HYMOD",25
"HM14","Bus Sup Clamp 205 N100","BsCp-205N100","Variance",50,20,30,8.77,1,8.77,12,105.24,"2023-09-26 10:14:36","HYMOD",6
"HM15","Bus Sup Rail 205 N100","BsR-205N100","Variance",50,20,30,10.13,1,10.13,24,243.12,"2023-09-26 10:14:40","HYMOD",6
"BH66","CT SPACER","CT SPACER","QUADOR",100,50,50,6.9,1,6.9,186,1283.4,"2023-08-28 12:27:06","Top Hat",6
"BH62","F50DV to HVC Chassis Mounting Copper Tags","CTF50DV-HVC","NYLEC",60,30,30,4.76,1,4.76,192,913.92,"2023-09-13 16:34:01","Top Hat",6
"HM43","Door Stay Bracket Flat","DBrS-F","Variance",50,15,35,2.29,1,2.29,39,89.31,"2023-10-03 12:22:56","HYMOD",6
"HM102","Door Stay Bracket U","DBrS-U","Variance",60,20,40,5.58,1,5.58,52,290.16,"2023-10-02 16:40:44","HYMOD",6
"BH38","HPR DUCT MOUNTING BRACKET TYPE2","DMBKT-HPR","NYLEC",200,50,150,2.07,1,2.07,286,592.02,"2023-09-01 15:18:45","Top Hat",30
"BH81","EMPTY BH81","EMPTY 1","NA",0,0,0,0,1,0,1,0,"2023-08-28 12:27:06","Top Hat",6
"BH96","EMPTY BH96","EMPTY 10","NA",0,0,0,0,1,0,1,0,"2023-09-01 15:47:22","Top Hat",6
"BH97","EMPTY BH97","EMPTY 11","NA",0,0,0,0,1,0,1,0,"2023-08-28 12:27:06","Top Hat",6
"BH98","EMPTY BH98","EMPTY 12","NA",0,0,0,0,1,0,1,0,"2023-08-28 12:27:06","Top Hat",6
"BH99","EMPTY BH99","EMPTY 13","NA",0,0,0,0,1,0,1,0,"2023-08-28 12:27:06","Top Hat",6
"BH100","EMPTY BH100","EMPTY 14","NA",0,0,0,0,1,0,1,0,"2023-09-01 15:47:42","Top Hat",6
"BH82","EMPTY BH82","EMPTY 2","NA",0,0,0,0,1,0,1,0,"2023-08-28 12:27:06","Top Hat",6
"BH83","EMPTY BH83","EMPTY 3","NA",0,0,0,0,1,0,1,0,"2023-08-28 12:27:06","Top Hat",6
