"114","M8 X 35 HEX SET SCREW CL 8.8 Z","81835",200,600,200,400,0.1247,1,0.1247,200,900,1100,137.17,"2023-09-08 08:39:07","Kanban Stock",2,0
"91","4mm Flat Washer (small)","8344",1000,1000,0,1000,6,1000,0.006,5831,0,5831,34.986,"2023-09-04 11:08:33","Kanban Stock",2,1
"95","5mm FLAT WASHER 5 x 10 x 1mm","8345",1000,1000,0,1000,0.0074,1,0.0074,4952,0,4952,36.6448,"2023-09-04 11:10:29","Kanban Stock",2,1
"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8 4R","8347",1500,4500,1500,3000,0.015,1,0.015,1500,3000,4500,67.5,"2023-09-27 09:10:07","Kanban Stock",2,0
"165","10mm Flat washer","8348",400,1200,400,800,2.32,100,0.0232,400,400,800,18.56,"2023-09-20 09:21:28","Kanban Stock",2,0
"126","WASHER FLAT STEEL BRIGHT (STD) ZINC MM 12X24X1.6","8349",400,1200,400,800,3,100,0.03,673,500,1173,35.19,"2023-09-04 11:25:52","Kanban Stock",2,0
"103","6mm Spring coil Zinc Washer 1/4x1/16/1/16","8691",1000,2000,1000,1000,19.56,1000,0.01956,1000,1000,2000,39.12,"2023-09-04 11:14:40","Kanban Stock",2,0
"01","Ferrule Insulated Black 1.50mm","BL015",1500,4500,1500,3000,8.11,500,0.01622,1500,3000,4500,72.99,"2023-09-04 09:51:27","Kanban Stock",2,0
"03","Ferrule Insulated Grey 2.50mm","BL025",500,1500,500,1000,7.95,500,0.0159,500,2500,3000,47.7,"2023-09-08 08:43:27","Kanban Stock",2,0
"04","Ferrule Insulated Grey 2.50mm Long","BL025L",500,1500,500,1000,10.52,500,0.02104,500,1000,1500,31.56,"2023-08-02 09:18:34","Kanban Stock",2,0
"06","Ferrule Insulated Orange 4mm","BL040",500,1500,500,1000,2.82,100,0.0282,1773,3400,5173,145.879,"2023-06-28 14:33:06","Kanban Stock",2,0
"07","Ferrule 4mm x 18mm Orange","BL040XL",1000,3000,1000,2000,5.3,100,0.053,1000,0,1000,53,"2023-10-06 09:51:44","Kanban Stock",2,0
"09","Ferrule Insulated Green 6mm","BL060",300,900,300,600,6.02,100,0.0602,300,400,700,42.14,"2023-10-06 09:47:46","Kanban Stock",2,0
"10","Ferrule Insulated Green 6mm Long","BL060XL",300,900,300,600,4.98,100,0.0498,849,400,1249,62.2002,"2023-08-28 12:42:11","Kanban Stock",2,0
"12","Ferrule Insulated Brown 10mm","BL100",200,600,200,400,5.02,100,0.0502,677,1800,2477,124.345,"2023-06-28 14:33:06","Kanban Stock",2,0
"13","Ferrule Brown 10mm2 x 18mm","BL100L",200,600,200,400,6.99,100,0.0699,475,2500,2975,207.952,"2023-06-28 14:33:06","Kanban Stock",2,0
"14","16mm Ferrule Insulated White","BL160",200,600,200,400,6.99,100,0.0699,200,1800,2000,139.8,"2023-09-08 08:48:36","Kanban Stock",2,0
"15","Ferrule Insulated White 16mm Long","BL160L",200,600,200,400,7.33,100,0.0733,200,300,500,36.65,"2023-09-08 08:48:21","Kanban Stock",2,0
"16","25mm Ferrule Insulated Black","BL250",150,450,150,300,5.65,50,0.113,68,900,968,109.384,"2023-09-04 10:24:36","Kanban Stock",2,0
"17","Ferrule Insulated Black 25mm Long","BL250L",100,300,100,200,7.65,50,0.153,198,750,948,145.044,"2023-09-04 10:25:04","Kanban Stock",2,0
"18","Ferrule Insulated Red 35mm","BL350",60,180,60,120,2.99,20,0.1495,141,660,801,119.749,"2023-09-04 10:25:44","Kanban Stock",2,0
"19","Ferrule Insulated Red 35mm Long","BL350L",60,180,60,120,3,20,0.15,109,720,829,124.35,"2023-09-04 10:26:08","Kanban Stock",2,0
"20","Ferrule Insulated Blue 50mm","BL500",50,150,50,100,3.51,10,0.351,41,300,341,119.691,"2023-09-04 10:26:42","Kanban Stock",2,0
"21","Ferrule Insulated Yellow 70mm","BL700",40,120,40,80,7.15,10,0.715,37,290,327,233.805,"2023-09-04 10:27:06","Kanban Stock",2,0
"22","Ferrule Insulated Red 95mm","BL950",20,20,0,20,8.9,10,0.89,41,0,41,36.49,"2023-09-04 10:27:34","Kanban Stock",2,1
"02","Ferrule Twin Black 2 x 1.5mm","BLT015",500,1500,500,1000,3.7,100,0.037,500,1500,2000,74,"2023-08-02 09:15:30","Kanban Stock",2,0
"05","Ferrule Twin Grey 2 x 2.5mm","BLT025",500,1500,500,1000,5.7,100,0.057,500,1000,1500,85.5,"2023-09-27 09:32:08","Kanban Stock",2,0
"08","Ferrule Twin Orange 2 x 4mm","BLT040",200,600,200,400,7.33,100,0.0733,826,1000,1826,133.846,"2023-06-28 14:33:06","Kanban Stock",2,0
"11","Ferrule Twin Yellow 2 x 6mm","BLT060",100,300,100,200,8.66,100,0.0866,516,500,1016,87.9856,"2023-09-25 21:16:08","Kanban Stock",2,0
"183","M6x16 BOLT","CCCCCC",200,200,0,200,0,0,\N,494,0,494,\N,"2023-09-04 11:55:57","Kanban Stock",2,1
"68","50 X 8mm LUG","COPY-BIN67",0,0,0,0,1.04,1,1.04,1,0,1,1.04,"2023-09-04 10:56:13","Kanban Stock",2,1
"73","70mm Copper Lug 8mm Stud Bell","COPY-BIN72",0,0,0,0,1.33,1,1.33,1,0,1,1.33,"2023-09-04 10:57:54","Kanban Stock",2,1
